name,total_price
房型方正 自住精装修 保养很好 业主诚心卖,299
中海玄武公馆B区 电梯房 装修好 满五 近医院 交通便捷,378
高楼层视野好 产权清晰 刚需小三居 满二 带电梯 朝南,205
万象汇CBD商圈  城北新中心 地铁汇集地  精装交付,350
小三房 满五   次新房 南向采光好 产权清晰 临地铁,206
秒杀抄底价2 0 5万 铁心桥莱蒙水榭阳光品质小区 先看得,205
燕子矶 1号线笆斗山地铁口 依云和府 婚装品牌家具家电全 ,228
燕子矶核心区保利燕璟和颂清盘倒计时有特价房欲购从速先到先得,320
一百六十多急卖麒麟科创园 中间楼层 精装修 中央空调新风地暖,173
新出融筑儒林花园 刚需小三居 近地铁 停车方便 商品住宅,230
本人实拍 价格还有空间可谈 得房率90 南师  ,216
医疗配套成熟 商业配套齐全 南北通透 出行方便 近地铁,210
百家湖总价270万起.双地铁,310
首付1.5成买将军大道 托乐嘉97平大两房 三开间南方正将中,220
安个家真 油坊桥双地铁口 莲花嘉园 东边户三房 急售价格可谈,130
正规商品房 车位充足 有电梯 房龄新 刚需小三居 装修好,118
万科璞悦山 不临街 精装刚需小三房 中间楼层 电梯洋房,138
尧林仙居翠林苑 低密度社区 小三居 商品住宅 南向采光好,128
有电梯 正规商品房 精装可拎包入住 临地铁 次新房,195
仙林湖 省钱必看房让50w金中金小 用 家具全 还包税,205
软件谷旁 340万起！2站南京南 南京主城区 精装修交付,385
急售秒杀 大刀砍价  铁心桥马家店精装三房 家具家全 有钥匙,140
燕江新城燕雅苑 出行方便 南向采光好 小三居 楼龄新 满二,99
龙江地铁 阳光广场 东边户电梯房 总价低,250
双地铁现房   ！来电少10个！清盘！特惠！,124
中天云来112平三室两厅两卫精装修新房位置好285万,314
金中金小 中间楼层 30万居家精装 家具全 价格可谈随,199
云谷山庄 小三房 产权清晰 精装好房 临地铁 南北通透,190
高科荣境2期 南北通透 楼龄新 近地铁 商品房,330
百家湖！ 金鹰景枫旁 铂翠云湾 新上 人车分流 一个车位,345
价格可谈 商品房 东边户双阳台 正规三房 七彩星城 急售,204
   多买地铁口次新房精装修三房 中间楼层 拎包入住采光刺眼,188
近期必卖！五矿崇文金城 得房率100% 保养   3房2卫,350
三套内销好房推荐 来电谈价格 可破底价成交,120
降价急售 燕子矶 兴智  精装交付 地铁6号线,250
保利堂悦 3室2厅1卫,308
正荣润棠府 近地铁 次新房 朝南 出行方便 小三房,218
华润幸福里 满五 商业配套成熟 临地铁 交通便捷 商品住宅,200
喜之郎丽湖湾 商品房 满五   南北通透 精装好房 双卫格局,68
     洺悦府精装修3房2卫 地铁口 小高层 看房随时,230
华侨城翡翠天域星园一期 南北通透 中间楼层采光好 小区新,126
阿卡天玑苑 三房 近地铁 位置好 精装修 拎包入住   ,143
燕子矶核心位置 一号线地铁口旁 250w起楼层随意选 优惠多,375
复地宴南都二期 三开间朝南 精装带车位 总价低可谈,360
招商兰溪谷(二期) 高楼层采光充足 产权清晰 小区新 小三房,145
南大 住宅小区 小三居 临地铁 好房 成熟 电梯房,260
精装可拎包入住 双卫格局 带电梯 产权清晰 楼龄新 南北通透,160
出门10米地铁口 3号线换乘王 印象汇商场 铝板外立面,310
迈皋桥小三房 主次卧朝南 客厅朝南带阳台 楼层好采光佳,130
湖南路 近地铁 近医院 交通便利 中间楼层采光好 满五,220
安个家    价格能谈到你的理想价  莲花嘉园 三房,148
雨花核心区万科品质 一桥河西 精装大三房 随时带您看房,370
栖霞南北88.66平多层[17层]融筑儒林花园,229
荣盛莉湖春晓 小三房 小区新 近地铁 商业配套成熟 南北通透,113
旭日景城 楼层好 低密宜居 临地铁 双卫生间 正规商品房,368
新城香悦澜山 电梯房 南北通透 近地铁 中间楼层采光好,228
地铁 5站新街口和南京南 9折优惠 客厅5米开间 精装交付,430
燕舞园 得房好 小三居 近地铁 交通便利 满五,120
上新葛塘地铁口精装好房 美利商圈南北通透 可谈,120
岔路口  左邻右里  2室  2厅,186
双地铁112万起现房 一站路鼓楼 一线江景 南北通透看房方便,110.8
水榭花苑 书房 单价低 总价低 南北通透  储藏室 急卖,119
燕江新城山水苑 满二 商圈成熟 交通便捷 朝南 有电梯,105
金科博翠花园 南北通透 产权清晰 高绿化 装修好 停车方便,365
总价330万起 青奥公园 砂之船奥莱旁 央企开发 一线江景房,363
时光里精装大三房家电全  看房方便 边户采光嘎嘎好,199
急 万寿双地铁口 海赋尚城 精装 有车位 随时看房 南师  ,197
百家湖湖景 好楼层 保养装修好 业主诚心出,229
云谷山庄 不临街楼层好 采光刺眼 业主诚心出售,190
润栖府清盘！低楼层7折起步！看房电联,349
龙华路地铁 虹悦城旁 雅居乐雅尊府 精装修三房 不靠高架，急,225
孩子结婚换婚房，着急用钱，精装修3房，随时能看，看中能刀,193
保利国际社区(二期) 南向采光好 刚需小三居 有电梯 商品房,215
三套特价房 128平283万 龙湖央颂十号线龙华路地铁口,330
教院  29中本部 清凉门 虎踞路双南一楼带院子低总价有钥匙,265
小三房 产权清晰 停车方便 电梯房 楼龄新 满二,165
清荷园南园 3室2厅1卫,172
荣盛鹭岛荣府南苑 商品房 南北通透 精装修 双卫 楼层好,88
年底交付  一口价290万  双地铁 南北通透 实景样板间,385
不需要华丽的词汇，好房子一看就知道了啦，近地铁，滨江弘阳,107
中建熙园府次新房 开发商精装修交付加三大件,205
江与城 三房 全新未住 高楼层 三大件齐全 次新房 随时看房,288
精装 地铁口游府西街 3室2卫 万科物业 横厅 万科未来城,88
江畔都会上城 商品可谈南北通透 近地铁 小三房 次新房山姆,230
天天等客户来谈！！！精装修新小区！业主已定居北京！密码看房,110
嘉誉山D区(二期) 大两居 精装修 满二   楼龄新,190
城南中心优惠力度很大，来电看房随时车接车 ,293
